log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,time_forward
-6.0832600593566895,0.38604736328125,9.68997859954834,-9.68997859954834,-6.0832600593566895,0.38604736328125,9.68997859954834,-9.68997859954834,0.0,nan,0,4,,,,,,,,,
-6.0832600593566895,0.3848075866699219,9.617504119873047,-9.617504119873047,-6.0832600593566895,0.3848075866699219,9.617504119873047,-9.617504119873047,,,1,9,0.9255409240722656,0.007200121879577637,-53.147701263427734,46.91648483276367,0.9255409240722656,0.007200121879577637,-53.147701263427734,46.91648483276367,
-6.0832600593566895,0.4008293151855469,9.549418449401855,-9.549418449401855,-6.0832600593566895,0.4008293151855469,9.549418449401855,-9.549418449401855,,,2,14,,,,,,,,,
-6.0832600593566895,0.4012107849121094,9.485098838806152,-9.485098838806152,-6.0832600593566895,0.4012107849121094,9.485098838806152,-9.485098838806152,,,3,19,,,,,,,,,
-6.0832600593566895,0.3875732421875,9.42399787902832,-9.42399787902832,-6.0832600593566895,0.3875732421875,9.42399787902832,-9.42399787902832,,,4,24,,,,,,,,,
-6.0832600593566895,1.8312455415725708,9.365625381469727,-9.365625381469727,-6.0832600593566895,1.8312454223632812,9.365625381469727,-9.365625381469727,0.0,nan,5,29,,,,,,,,,
-6.0832600593566895,0.9370803833007812,9.309469223022461,-9.309469223022461,-6.0832600593566895,0.9370803833007812,9.309469223022461,-9.309469223022461,,,6,34,,,,,,,,,
-6.0832600593566895,0.4008293151855469,9.254903793334961,-9.254903793334961,-6.0832600593566895,0.4008293151855469,9.254903793334961,-9.254903793334961,,,7,39,,,,,,,,,
-6.0832600593566895,0.6958961486816406,9.201700210571289,-9.201700210571289,-6.0832600593566895,0.6958961486816406,9.201700210571289,-9.201700210571289,,,8,44,,,,,,,,,
,,5.354793071746826,-5.354793071746826,,,,,,,9,49,,,,,,,,,0.3464818000793457
-6.0832600593566895,0.4215240180492401,9.14939022064209,-9.14939022064209,-6.0832600593566895,0.4215240478515625,9.14939022064209,-9.14939022064209,,,9,49,,,,,,,,,
-6.0832600593566895,0.5703926086425781,9.097854614257812,-9.097854614257812,-6.0832600593566895,0.5703926086425781,9.097854614257812,-9.097854614257812,0.0,nan,10,54,,,,,,,,,
-6.0832600593566895,0.3964424133300781,9.046895980834961,-9.046895980834961,-6.0832600593566895,0.3964424133300781,9.046895980834961,-9.046895980834961,,,11,59,0.9463310837745667,0.004114389419555664,-41.634769439697266,35.07685852050781,0.9463310241699219,0.004114389419555664,-41.634769439697266,35.07685852050781,
-6.0832600593566895,0.4559517204761505,8.996406555175781,-8.996406555175781,-6.0832600593566895,0.4559516906738281,8.996406555175781,-8.996406555175781,,,12,64,,,,,,,,,
-6.0832600593566895,0.3844261169433594,8.946296691894531,-8.946296691894531,-6.0832600593566895,0.3844261169433594,8.946296691894531,-8.946296691894531,,,13,69,,,,,,,,,
-6.0832600593566895,0.379180908203125,8.89650821685791,-8.89650821685791,-6.0832600593566895,0.379180908203125,8.89650821685791,-8.89650821685791,,,14,74,,,,,,,,,
-6.0832600593566895,0.38356781005859375,8.847033500671387,-8.847033500671387,-6.0832600593566895,0.38356781005859375,8.847033500671387,-8.847033500671387,0.0,nan,15,79,,,,,,,,,
-6.0832600593566895,0.38928985595703125,8.797819137573242,-8.797819137573242,-6.0832600593566895,0.38928985595703125,8.797819137573242,-8.797819137573242,,,16,84,,,,,,,,,
-6.0832600593566895,0.42362213134765625,8.748885154724121,-8.748885154724121,-6.0832600593566895,0.42362213134765625,8.748885154724121,-8.748885154724121,,,17,89,,,,,,,,,
-6.0832600593566895,0.39157867431640625,8.700191497802734,-8.700191497802734,-6.0832600593566895,0.39157867431640625,8.700191497802734,-8.700191497802734,,,18,94,,,,,,,,,
,,4.807055473327637,-4.807055473327637,,,,,,,19,99,,,,,,,,,0.3027915954589844
-6.0832600593566895,0.4052162170410156,8.651715278625488,-8.651715278625488,-6.0832600593566895,0.4052162170410156,8.651715278625488,-8.651715278625488,,,19,99,,,,,,,,,
-6.0832600593566895,0.3855705261230469,8.603409767150879,-8.603409767150879,-6.0832600593566895,0.3855705261230469,8.603409767150879,-8.603409767150879,0.0,nan,20,104,,,,,,,,,
-6.0832600593566895,0.38356781005859375,8.555303573608398,-8.555303573608398,-6.0832600593566895,0.38356781005859375,8.555303573608398,-8.555303573608398,,,21,109,0.942421019077301,0.0021675825119018555,-32.829769134521484,26.136804580688477,0.9424209594726562,0.0021675825119018555,-32.829769134521484,26.136804580688477,
-6.0832600593566895,0.3975868225097656,8.507241249084473,-8.507241249084473,-6.0832600593566895,0.3975868225097656,8.507241249084473,-8.507241249084473,,,22,114,,,,,,,,,
-6.0832600593566895,0.3899574279785156,8.459310531616211,-8.459310531616211,-6.0832600593566895,0.3899574279785156,8.459310531616211,-8.459310531616211,,,23,119,,,,,,,,,
-6.0832600593566895,0.3779411315917969,8.411481857299805,-8.411481857299805,-6.0832600593566895,0.3779411315917969,8.411481857299805,-8.411481857299805,,,24,124,,,,,,,,,
